Course_Number,Course_Name,Subject
MATH2471,Calculus_I,Mathematics
MATH2472,Calculus_II,Mathematics
US1100,University_Seminar,General
ENG1310,College_Writing_1,English
ENG1320,College_Writing_2,English
PHIL1305,Philosophy_and_Critical_Thinking,Philosophy
COMM1310,Fundamentals_of_Human_Communication,Communication
MATH2358,Discrete_Math_1,Mathematics
MATH3398,Discrete_Math_2,Mathematics
BIO1320,Modern_Biology_I,Science
BIO1421,Modern_Biology_II,Science
CHEM1341,General_Chemistry_I,Science
CHEM1342,General_Chemistry_II,Science
PHYS1315,General_Physics_I,Science
PHYS1325,General_Physics_II,Science
PSY1300,Introduction_to_Psychology,Psychology
SOCI1310,Introduction_to_Sociology,Social_and_Behavioral_Sciences
ENG2310,British_Literature,English
ENG2330,World_Literature,English
ENG2360,US_Literature,English
MATH3305,Introduction_to_Probability_and_Statistics,Mathematics
POSI2310,Principles_of_American_Government,Government
POSI2320,Functions_of_American_Government,Government
ART2313,Introduction_to_Fine_Arts,Creative_Arts
DAN2313,Introduction_to_Fine_Arts,Creative_Arts
MU2313,Introduction_to_Fine_Arts,Creative_Arts
TH2313,Introduction_to_Fine_Arts,Creative_Arts
POSI2310,Principles_of_American_Government,Government
POSI2320,Functions_of_American_Government,Government
CS3354,Object-Oriented_Design_and_Programming,Computer_Science
CS2318,Assembly_Language,Computer_Science
CS4398,Software_Engineering_Project,Computer_Science
CS1319,Fundamentals_of_Computer_Science,Computer_Science
CS1428,Foundations_of_Computer_Science_I,Computer_Science
CS2308,Foundations_of_Computer_Science_II,Computer_Science
CS2315,Computer_Ethics,Computer_Science
CS3339,Computer_Architecture,Computer_Science
CS3358,Data_Structures_and_Algorithms,Computer_Science
CS3398,Software_Engineering,Computer_Science
CS4328,Operating_Systems,Computer_Science
CS4310,Computer_Networks,Computer_Science
CS4315,Introduction_to_Data_Mining,Computer_Science
CS4332,Introduction_to_Database_Systems,Computer_Science
CS4372,Introduction_to_Digital_Multimedia,Computer_Science
CS4318,Compiler_Construction,Computer_Science
CS4326,Human_Factors_of_Computer_Systems,Computer_Science
CS4371,Computer_System_Security,Computer_Science
CS4380,Parallel_Programming,Computer_Science
CS4398,Software_Engineering_Project,Computer_Science
CS4378Z,Practical_Game_Development,Computer_Science
CS4379A,Software_Testing,Computer_Science
CS4379B,Introduction_to_Graphical_User_Interfaces,Computer_Science
