Course_Number,Course_Name,Subject
US1100,University_Seminar,General
ENG1310,College_Writing_1,English
ENG1320,College_Writing_2,English
ENG3303,Technical_Writing,English
POSI2310,Principles_of_American_Government,Government
HIST1310,History_of_the_United_States_to_1877,American_History
HIST1320,History_of_the_United_States,_1877_to_Date,American_History
MATH1315,College_Algebra,Mathematics
COMM1310,Fundamentals_of_Human_Communication,Communication
SPAN1410,Spanish_I,Foreign_Language
SPAN1420,Spanish_II,Foreign_Language
SPAN1410,Spanish_I,Foreign_Language
SPAN1420,Spanish_II,Foreign_Language
FR1410,French_I,Foreign_Language
FR1420,French_II,Foreign_Language
GER1410,German_I,Foreign_Language
GER1420,German_II,Foreign_Language
BIO1320,Modern_Biology_I,Science
BIO1421,Modern_Biology_II,Science
BIO1330,Functional_Biology,Science
BIO1331,Organismal_Biology,Science
ANTH1312,Cultural_Anthropology,Science
PSY2101,Introduction_to_Statistics_Laboratory,Science
ECO2301,Principles_of_Economics,Economics
ECO2314,Principles_of_Microeconomics,Economics
GEO1310,World_Geography,Geography
PFW1301,Social_and_Behavioral_Dimensions_of_Physical_Fitness_and_Wellness,Kinesiology
PSY2100,Professional_Seminar,Science
PSY1300,Introduction_to_Psychology,Psychology
PSY2301,Introduction_to_Statistics,Psychology
ART2313,Introduction_to_Fine_Arts,Creative_Arts
DAN2313,Introduction_to_Fine_Arts,Creative_Arts
MU2313,Introduction_to_Fine_Arts,Creative_Arts
TH2313,Introduction_to_Fine_Arts,Creative_Arts
SOCI1310,Introduction_to_Sociology,Social_and_Behavioral_Sciences
PHIL1305,Philosophy_and_Critical_Thinking,Philosophy
PSY1300,Introduction_to_Psychology,Psychology
PSY2301,Introduction_to_Statistics,Psychology
PSY3300,Lifespan_Development,Psychology
PSY3315,Abnormal_Psychology,Psychology
PSY3322,Brain_and_Behavior,Psychology
PSY3331,Social_Psychology,Psychology
PSY3300,Lifespan_Development,Psychology
PSY3315,Abnormal_Psychology,Psychology
PSY3322,Brain_and_Behavior,Psychology
PSY3331,Social_Psychology,Psychology
PSY3300,Lifespan_Development,Psychology
PSY3312,Adolescent_Psychology,Psychology
PSY3313,Psychology_of_Adulthood_and_Aging,Psychology
PSY3315,Abnormal_Psychology,Psychology
PSY3316.,Personality_Psychology,Psychology
PSY3321,Sensation_and_Perception,Psychology
PSY3331,Social_Psychology,Psychology
PSY3341,Cognitive_Processes,Psychology
PSY4342,Learning_and_Memory,Psychology
