Course,Prerequisite(s),,
CS 1308,,,
CS 1319,,,
CS 1428,"MATH 1315, MATH 1317, MATH 1319, MATH 1329, MATH 2417, MATH 2471",,
CS 2308,CS 1428,,
CS 2315,COMM 1310,ENG 1310,"PHIL 1305, PHIL 1320"
CS 2318,MATH 2358,CS 2308,
CS 3320,CS 2308,,
CS 3339,CS 2318,,
CS 3354,CS 2308,,
CS 3358,CS 2308,MATH 2358,
CS 3369,"CS 2318, EE 3420",,
CS 3378,CS 3358,,
CS 3398,CS 3358,"CS 2315, EE2400",
CS 4100,,,
CS 4298,,,
CS 4299,CS 4298,,
CS 4310,CS 3358,,
CS 4315,CS 3358,,
CS 4318,CS 3358,,
CS 4326,CS 3358,,
CS 4328,CS 3339,CS 3358,
CS 4332,CS 3358,,
CS 4346,CS 3358,,
CS 4347,CS 3358,,
CS 4350,CS 3358,,
CS 4368,CS 3358,,
CS 4371,CS 3358,,
CS 4372,CS 3358,,
CS 4378W,CS 3358,,
CS 4378Z,CS 3398,,
CS 4379A,CS 3398,,
CS 4379B,CS 3358,,
CS 4379C,,,
CS 4379Q,CS 3358,,
CS 4379V,,,
CS 4379Y,CS 3339,CS 3358,
CS 4380,CS 3358,CS 3339,
CS 4388,CS 3358,,
CS 4395,CS 3358,,
CS 4398,CS 3398,,
