Course_Number,Course_Name,Subject, Prereq
MATH2471,Calculus_I,Mathematics, N/A
MATH2472,Calculus_II,Mathematics, MATH2471
US1100,University_Seminar,General, N/A
ENG1310,College_Writing_1,English, N/A
ENG1320,College_Writing_2,English, ENG1310
PHIL1305,Philosophy_and_Critical_Thinking,Philosophy, N/A
COMM1310,Fundamentals_of_Human_Communication,Communication, N/A
MATH2358,Discrete_Math_1,Mathematics, MATH2471
MATH3398,Discrete_Math_2,Mathematics, MATH2358
BIO1320,Modern_Biology_I,Science, N/A
BIO1421,Modern_Biology_II,Science, BIO1320
CHEM1341,General_Chemistry_I,Science, N/A
CHEM1342,General_Chemistry_II,Science, CHEM1341
PHYS1315,General_Physics_I,Science, N/A
PHYS1325,General_Physics_II,Science, PHYS1315
PSY1300,Introduction_to_Psychology,Psychology, N/A
SOCI1310,Introduction_to_Sociology,Social_and_Behavioral_Sciences, N/A
ENG2310,British_Literature,English, ENG1320
ENG2330,World_Literature,English, ENG1320
ENG2360,US_Literature,English, ENG1320
MATH3305,Introduction_to_Probability_and_Statistics,Mathematics, MATH2471
POSI2310,Principles_of_American_Government,Government, N/A
POSI2320,Functions_of_American_Government,Government, POSI2310
ART2313,Introduction_to_Fine_Arts,Creative_Arts, N/A
DAN2313,Introduction_to_Fine_Arts,Creative_Arts, N/A
MU2313,Introduction_to_Fine_Arts,Creative_Arts, N/A
TH2313,Introduction_to_Fine_Arts,Creative_Arts, N/A
POSI2310,Principles_of_American_Government,Government, (DUPLICATE)
POSI2320,Functions_of_American_Government,Government, (DUPLICATE)
CS3354,Object-Oriented_Design_and_Programming,Computer_Science, CS2308
CS2318,Assembly_Language,Computer_Science, CS2308:MATH2358
CS4398,Software_Engineering_Project,Computer_Science, CS3358
CS1319,Fundamentals_of_Computer_Science,Computer_Science, N/A
CS1428,Foundations_of_Computer_Science_I,Computer_Science, N/A
CS2308,Foundations_of_Computer_Science_II,Computer_Science, CS1428
CS2315,Computer_Ethics,Computer_Science, ENG1310:PHIL1305:COMM1310:CS1428
CS3339,Computer_Architecture,Computer_Science, CS2318
CS3358,Data_Structures_and_Algorithms,Computer_Science, CS2308:MATH2358
CS3398,Software_Engineering,Computer_Science, CS3354:MATH2358
CS4328,Operating_Systems,Computer_Science, CS3339
CS4310,Computer_Networks,Computer_Science, CS3358
CS4315,Introduction_to_Data_Mining,Computer_Science, CS3358
CS4332,Introduction_to_Database_Systems,Computer_Science, CS3358
CS4372,Introduction_to_Digital_Multimedia,Computer_Science, CS3358
CS4318,Compiler_Construction,Computer_Science, CS3358
CS4326,Human_Factors_of_Computer_Systems,Computer_Science, CS3358
CS4371,Computer_System_Security,Computer_Science, CS3358
CS4380,Parallel_Programming,Computer_Science, CS3358
CS4398,Software_Engineering_Project,Computer_Science, CS3358
CS4378Z,Practical_Game_Development,Computer_Science, CS3358
CS4379A,Software_Testing,Computer_Science, CS3358
CS4379B,Introduction_to_Graphical_User_Interfaces,Computer_Science, CS3358
