CourseNumber,Grade
MATH2471,F
MATH2472,F
US1100,F
ENG1310,A
ENG1320,A
PHIL1305,B
COMM1310,C
MATH2358,C
MATH3398,F
BIO1320,I
BIO1421,B
CHEM1341,C
CHEM1342,C
PHYS1315,I
PHYS1325,I
PSY1300,C
SOCI1310,C
ENG2310,C
ENG2330,C
ENG2360,C
MATH3305,C
POSI2310,C
POSI2320,C
ART2313,C
CAN2313,C
MU2313,C
TH2313,C
POSI2310,C
POSI2320,C
CS3354,C
CS2318,C
CS4398,C
CS1319,C
CS1428,C
CS2308,C
CS2315,C
CS3339,C
CS3358,C
CS3398,C
CS4328,C
CS4310,C
CS4315,C
CS4332,C
CS4372,C
CS4318,C
CS4326,B
CS4371,B
CS4380,B
CS4398,B
CS4378Z,C
CS4379A,C
CS4379B,C
