CourseNumber,Grade
MATH2471,F
MATH2472,F
US1100,F
ENG1310,A
ENG1320,A
PHIL1305,B
COMM1310,C
MATH2358,F
MATH3398,F
BIO1320,I
BIO1421,B
CHEM1341,C
CHEM1342,F
PHYS1315,I
PHYS1325,I
PSY1300,C
SOCI1310,C
ENG2310,C
ENG2330,C
ENG2360,C
MATH3305,C
POSI2310,C
POSI2320,F
ART2313,F
FAN2313,F
MU2313,F
TH2313,F
POSI2310,F
POSI2320,F
CS3354,F
CS2318,F
CS4398,F
CS1319,F
CS1428,F
CS2308,C
CS2315,C
CS3339,C
CS3358,C
CS3398,C
CS4328,C
CS4310,C
CS4315,C
CS4332,F
CS4372,F
CS4318,F
CS4326,B
CS4371,B
CS4380,B
CS4398,B
CS4378Z,F
CS4379A,F
CS4379B,F
