Course,Prerequisite(s),,
PSY 1300,,,
PSY 2100,PSY 1300,,
PSY 2101,PSY 1300,PSY 2301,
PSY 2301,PSY 1300,MATH 1312,
PSY 2311,,,
PSY 3300,PSY 1300,,
PSY 3312,PSY 1300,,
PSY 3313,PSY 1300,,
PSY 3314,PSY 1300,,
PSY 3315,PSY 1300,,
PSY 3316,PSY 1300,,
PSY 3321,PSY 1300,PSY 3402,
PSY 3322,PSY 1300,,
PSY 3323,PSY 1300,PSY 3300,
PSY 3325,PSY 1300,,
PSY 3331,PSY 1300,,
PSY 3332,PSY 1300,,
PSY 3333,PSY 1300,,
PSY 3334,PSY 1300,,
PSY 3335,PSY 1300,,
PSY 3336,PSY 1300,,
PSY 3337,PSY 1300,,
PSY 3338,PSY 1300,,
PSY 3341,PSY 1300,PSY 3402,
PSY 3350,PSY 1300,,
PSY 3352,PSY 1300,,
PSY 3361,PSY 1300,,
PSY 3402,PSY 1300,PSY 2301,PSY 2101
PSY 3404,PSY 1300,PSY 3402,
PSY 4318,PSY 1300,PSY 2101,PSY 2301
PSY 4342,PSY 1300,PSY 3402,
PSY 4350,PSY 1300,,
PSY 4352,PSY 1300,,
PSY 4390B,,,
PSY 4390N,PSY 1300,,
PSY 4390P,PSY 1300,,
PSY 4390Q,PSY 1300,PSY 3315,
PSY 4390R,PSY 1300,PSY 2301,PSY 2101
PSY 4391,PSY 1300,PSY 3302,PSY 3402
PSY 4393,PSY 1300,,
PSY 4395,PSY 1300,PSY 3402,
PSY 4396,,,
