Course_Number,Course_Name,Subject,Prereq
MATH2471,Calculus_I,Mathematics,N/A
MATH2472,Calculus_II,Mathematics,MATH2471
ENG1310,College_Writing_1,English,N/A
ENG1320,College_Writing_2,English,ENG1310
PHIL1305,Philosophy_and_Critical_Thinking,Philosophy,N/A
COMM1310,Fundamentals_of_Human_Communication,Communication,N/A
MATH2358,Discrete_Math_1,Mathematics,MATH2471
MATH3398,Discrete_Math_2,Mathematics,MATH2358
PHYS1315,General_Physics_I,Science,N/A
PHYS1325,General_Physics_II,Science,PHYS1315
PSY1300,Introduction_to_Psychology,Psychology,N/A
SOCI1310,Introduction_to_Sociology,Social_and_Behavioral_Sciences,N/A
ENG2330,World_Literature,English,ENG1320
MATH3305,Introduction_to_Probability_and_Statistics,Mathematics,MATH2471
POSI2310,Principles_of_American_Government,Government,N/A
ART2313,Introduction_to_Fine_Arts,Creative_Arts,N/A
CS3354,Object-Oriented_Design_and_Programming,Computer_Science,CS2308
CS2318,Assembly_Language,Computer_Science,CS2308:MATH2358
CS4398,Software_Engineering_Project,Computer_Science,CS3358
CS1319,Fundamentals_of_Computer_Science,Computer_Science,N/A
CS1428,Foundations_of_Computer_Science_I,Computer_Science,N/A
CS2308,Foundations_of_Computer_Science_II,Computer_Science,CS1428
CS2315,Computer_Ethics,Computer_Science,ENG1310
CS3339,Computer_Architecture,Computer_Science,CS2318
CS3358,Data_Structures_and_Algorithms,Computer_Science,CS2308:MATH2358
CS3398,Software_Engineering,Computer_Science, CS3354:MATH2358
CS4328,Operating_Systems,Computer_Science,CS3339
CS4310,Computer_Networks,Computer_Science,CS3358
CS4332,Introduction_to_Database_Systems,Computer_Science,CS3358
CS4326,Human_Factors_of_Computer_Systems,Computer_Science,CS3358
CS4371,Computer_System_Security,Computer_Science,CS3358
CS4398,Software_Engineering_Project,Computer_Science,CS3358


