Course,Prerequisite
PSY1300,
PSY2100,PSY1300
PSY2101,PSY1300
PSY2101,PSY2301
PSY2301,PSY1300
PSY2301,MATH1312
PSY2311,
PSY3300,PSY1300
PSY3312,PSY1300
PSY3313,PSY1300
PSY3314,PSY1300
PSY3315,PSY1300
PSY3316,PSY1300
PSY3321,PSY1300
PSY3321,PSY3402
PSY3322,PSY1300
PSY3323,PSY1300
PSY3323,PSY3300
PSY3325,PSY1300
PSY3331,PSY1300
PSY3332,PSY1300
PSY3333,PSY1300
PSY3334,PSY1300
PSY3335,PSY1300
PSY3336,PSY1300
PSY3337,PSY1300
PSY3338,PSY1300
PSY3341,PSY1300
PSY3341,PSY3402
PSY3350,PSY1300
PSY3352,PSY1300
PSY3361,PSY1300
PSY3402,PSY1300
PSY3402,PSY2301
PSY3402,PSY2101
PSY3404,PSY1300
PSY3404,PSY3402
PSY4318,PSY1300
PSY4318,PSY2101
PSY4318,PSY2301
PSY4342,PSY1300
PSY4342,PSY3402
PSY4350,PSY1300
PSY4352,PSY1300
PSY4390B,
PSY4390N,PSY1300
PSY4390P,PSY1300
PSY4390Q,PSY1300
PSY4390Q,PSY3315
PSY4390R,PSY1300
PSY4390R,PSY2301
PSY4390R,PSY2101
PSY4391,PSY1300
PSY4391,PSY3302
PSY4391,PSY3402
PSY4393,PSY1300
PSY4395,PSY1300
PSY4395,PSY3402
PSY4396,
